comp_name,stock_id,chg_stock_id
金融街,SZ000402,sz.000402
新大正,SZ002968,sz.002968
华如科技,SZ301302,sz.301302
厦门银行,SH601187,sh.601187
大洋电机,SZ002249,sz.002249
乾景园林,SH603778,sh.603778
滨化股份,SH601678,sh.601678
奇正藏药,SZ002287,sz.002287
万马科技,SZ300698,sz.300698
神农集团,SH605296,sh.605296
涛涛车业,SZ301345,sz.301345
金河生物,SZ002688,sz.002688
立新能源,SZ001258,sz.001258
科信技术,SZ300565,sz.300565
伊戈尔,SZ002922,sz.002922
永艺股份,SH603600,sh.603600
彩虹股份,SH600707,sh.600707
魅视科技,SZ001229,sz.001229
森霸传感,SZ300701,sz.300701
用友网络,SH600588,sh.600588
宝胜股份,SH600973,sh.600973
广和通,SZ300638,sz.300638
城建发展,SH600266,sh.600266
嘉泽新能,SH601619,sh.601619
恒立实业,SZ000622,sz.000622
哈铁科技,SH688459,sh.688459
上海环境,SH601200,sh.601200
美达股份,SZ000782,sz.000782
吉峰科技,SZ300022,sz.300022
大禹节水,SZ300021,sz.300021
木林森,SZ002745,sz.002745
美锦能源,SZ000723,sz.000723
春兰股份,SH600854,sh.600854
奥翔药业,SH603229,sh.603229
金发科技,SH600143,sh.600143
西大门,SH605155,sh.605155
北京银行,SH601169,sh.601169
镇海股份,SH603637,sh.603637
北巴传媒,SH600386,sh.600386
孚日股份,SZ002083,sz.002083
中电环保,SZ300172,sz.300172
燕京啤酒,SZ000729,sz.000729
康尼机电,SH603111,sh.603111
富奥股份,SZ000030,sz.000030
TCL科技,SZ000100,sz.000100
莱宝高科,SZ002106,sz.002106
金城医药,SZ300233,sz.300233
龙泉股份,SZ002671,sz.002671
国光股份,SZ002749,sz.002749
青岛食品,SZ001219,sz.001219
今创集团,SH603680,sh.603680
东风股份,SH601515,sh.601515
玉马遮阳,SZ300993,sz.300993
军信股份,SZ301109,sz.301109
仕净科技,SZ301030,sz.301030
金地集团,SH600383,sh.600383
上海三毛,SH600689,sh.600689
倍加洁,SH603059,sh.603059
三木集团,SZ000632,sz.000632
惠达卫浴,SH603385,sh.603385
华塑股份,SH600935,sh.600935
科翔股份,SZ300903,sz.300903
丰立智能,SZ301368,sz.301368
东兴证券,SH601198,sh.601198
澄天伟业,SZ300689,sz.300689
华尔泰,SZ001217,sz.001217
片仔癀,SH600436,sh.600436
卧龙电驱,SH600580,sh.600580
首华燃气,SZ300483,sz.300483
宝色股份,SZ300402,sz.300402
中航沈飞,SH600760,sh.600760
中船防务,SH600685,sh.600685
中信海直,SZ000099,sz.000099
五洲交通,SH600368,sh.600368
华骐环保,SZ300929,sz.300929
神剑股份,SZ002361,sz.002361
迪阿股份,SZ301177,sz.301177
京粮控股,SZ000505,sz.000505
浙大网新,SH600797,sh.600797
华达科技,SH603358,sh.603358
顺钠股份,SZ000533,sz.000533
中坚科技,SZ002779,sz.002779
广汇物流,SH600603,sh.600603
宜宾纸业,SH600793,sh.600793
宇信科技,SZ300674,sz.300674
水发燃气,SH603318,sh.603318
三全食品,SZ002216,sz.002216
万科A,SZ000002,sz.000002
煌上煌,SZ002695,sz.002695
星网宇达,SZ002829,sz.002829
新乳业,SZ002946,sz.002946
塔牌集团,SZ002233,sz.002233
中信重工,SH601608,sh.601608
安克创新,SZ300866,sz.300866
闰土股份,SZ002440,sz.002440
财通证券,SH601108,sh.601108
贵州燃气,SH600903,sh.600903
中原证券,SH601375,sh.601375
超频三,SZ300647,sz.300647
华宏科技,SZ002645,sz.002645
博思软件,SZ300525,sz.300525
动力B股,SH900920,sh.900920
利尔化学,SZ002258,sz.002258
顶固集创,SZ300749,sz.300749
汇宇制药-W,SH688553,sh.688553
金花股份,SH600080,sh.600080
康缘药业,SH600557,sh.600557
普瑞眼科,SZ301239,sz.301239
威帝股份,SH603023,sh.603023
三孚股份,SH603938,sh.603938
凯龙高科,SZ300912,sz.300912
西南证券,SH600369,sh.600369
三友医疗,SH688085,sh.688085
蓝科高新,SH601798,sh.601798
安科瑞,SZ300286,sz.300286
新天科技,SZ300259,sz.300259
迈瑞医疗,SZ300760,sz.300760
中银证券,SH601696,sh.601696
元道通信,SZ301139,sz.301139
益客食品,SZ301116,sz.301116
恒泰艾普,SZ300157,sz.300157
联发股份,SZ002394,sz.002394
深粮B,SZ200019,sz.200019
粤宏远A,SZ000573,sz.000573
亚邦股份,SH603188,sh.603188
重庆燃气,SH600917,sh.600917
天普股份,SH605255,sh.605255
大西洋,SH600558,sh.600558
北大医药,SZ000788,sz.000788
精华制药,SZ002349,sz.002349
博闻科技,SH600883,sh.600883
汇洁股份,SZ002763,sz.002763
向日葵,SZ300111,sz.300111
名家汇,SZ300506,sz.300506
楚天高速,SH600035,sh.600035
福日电子,SH600203,sh.600203
顺发恒业,SZ000631,sz.000631
天新药业,SH603235,sh.603235
华茂股份,SZ000850,sz.000850
国投资本,SH600061,sh.600061
联影医疗,SH688271,sh.688271
国新B股,SH900913,sh.900913
博汇股份,SZ300839,sz.300839
越秀资本,SZ000987,sz.000987
申达股份,SH600626,sh.600626
威尔药业,SH603351,sh.603351
飞力达,SZ300240,sz.300240
哈尔斯,SZ002615,sz.002615
戎美股份,SZ301088,sz.301088
国海证券,SZ000750,sz.000750
中光学,SZ002189,sz.002189
环旭电子,SH601231,sh.601231
中科海讯,SZ300810,sz.300810
国元证券,SZ000728,sz.000728
新大陆,SZ000997,sz.000997
长航凤凰,SZ000520,sz.000520
祥鑫科技,SZ002965,sz.002965
京威股份,SZ002662,sz.002662
森特股份,SH603098,sh.603098
物产环能,SH603071,sh.603071
东瑞股份,SZ001201,sz.001201
中原环保,SZ000544,sz.000544
国电南瑞,SH600406,sh.600406
海星股份,SH603115,sh.603115
晶科能源,SH688223,sh.688223
光启技术,SZ002625,sz.002625
亿利达,SZ002686,sz.002686
隆基绿能,SH601012,sh.601012
泰豪科技,SH600590,sh.600590
东方盛虹,SZ000301,sz.000301
利民股份,SZ002734,sz.002734
格力电器,SZ000651,sz.000651
养元饮品,SH603156,sh.603156
美亚光电,SZ002690,sz.002690
农业银行,SH601288,sh.601288
东莞控股,SZ000828,sz.000828
汉商集团,SH600774,sh.600774
莱绅通灵,SH603900,sh.603900
朗科智能,SZ300543,sz.300543
双汇发展,SZ000895,sz.000895
毅昌科技,SZ002420,sz.002420
南极光,SZ300940,sz.300940
道森股份,SH603800,sh.603800
捷强装备,SZ300875,sz.300875
龙江交通,SH601188,sh.601188
南微医学,SH688029,sh.688029
上海谊众,SH688091,sh.688091
国邦医药,SH605507,sh.605507
锦鸡股份,SZ300798,sz.300798
农发种业,SH600313,sh.600313
浙江医药,SH600216,sh.600216
中光防雷,SZ300414,sz.300414
圣元环保,SZ300867,sz.300867
新天绿能,SH600956,sh.600956
正和生态,SH605069,sh.605069
海欣B股,SH900917,sh.900917
际华集团,SH601718,sh.601718
亚盛集团,SH600108,sh.600108
安联锐视,SZ301042,sz.301042
第一创业,SZ002797,sz.002797
卓越新能,SH688196,sh.688196
鸿远电子,SH603267,sh.603267
龙利得,SZ300883,sz.300883
景峰医药,SZ000908,sz.000908
亚通股份,SH600692,sh.600692
漱玉平民,SZ301017,sz.301017
武汉控股,SH600168,sh.600168
湖南发展,SZ000722,sz.000722
永安林业,SZ000663,sz.000663
新金路,SZ000510,sz.000510
大众公用,SH600635,sh.600635
联美控股,SH600167,sh.600167
成飞集成,SZ002190,sz.002190
沪农商行,SH601825,sh.601825
南京证券,SH601990,sh.601990
原尚股份,SH603813,sh.603813
山西证券,SZ002500,sz.002500
迎丰股份,SH605055,sh.605055
东北制药,SZ000597,sz.000597
浪潮软件,SH600756,sh.600756
天壕环境,SZ300332,sz.300332
锦浪科技,SZ300763,sz.300763
天风证券,SH601162,sh.601162
华鑫股份,SH600621,sh.600621
荣泰健康,SH603579,sh.603579
浔兴股份,SZ002098,sz.002098
海峡环保,SH603817,sh.603817
海利得,SZ002206,sz.002206
超图软件,SZ300036,sz.300036
华人健康,SZ301408,sz.301408
克明食品,SZ002661,sz.002661
好莱客,SH603898,sh.603898
恒天海龙,SZ000677,sz.000677
日出东方,SH603366,sh.603366
国创高新,SZ002377,sz.002377
联泰环保,SH603797,sh.603797
华邦健康,SZ002004,sz.002004
安源煤业,SH600397,sh.600397
宏昌电子,SH603002,sh.603002
瑞晨环保,SZ301273,sz.301273
海源复材,SZ002529,sz.002529
亿通科技,SZ300211,sz.300211
宁沪高速,SH600377,sh.600377
盈康生命,SZ300143,sz.300143
常山药业,SZ300255,sz.300255
益盛药业,SZ002566,sz.002566
拉芳家化,SH603630,sh.603630
华兰股份,SZ301093,sz.301093
中南股份,SZ000717,sz.000717
新元科技,SZ300472,sz.300472
纳川股份,SZ300198,sz.300198
航亚科技,SH688510,sh.688510
杰创智能,SZ301248,sz.301248
中粮糖业,SH600737,sh.600737
航天彩虹,SZ002389,sz.002389
爱康科技,SZ002610,sz.002610
柯力传感,SH603662,sh.603662
苏博特,SH603916,sh.603916
韩建河山,SH603616,sh.603616
尤安设计,SZ300983,sz.300983
美丽生态,SZ000010,sz.000010
雪迪龙,SZ002658,sz.002658
迪威迅,SZ300167,sz.300167
电子城,SH600658,sh.600658
金春股份,SZ300877,sz.300877
豫园股份,SH600655,sh.600655
河化股份,SZ000953,sz.000953
京基智农,SZ000048,sz.000048
富春股份,SZ300299,sz.300299
同力日升,SH605286,sh.605286
美的集团,SZ000333,sz.000333
洪通燃气,SH605169,sh.605169
新坐标,SH603040,sh.603040
华西证券,SZ002926,sz.002926
中国人保,SH601319,sh.601319
澳弘电子,SH605058,sh.605058
丽尚国潮,SH600738,sh.600738
中辰股份,SZ300933,sz.300933
金道科技,SZ301279,sz.301279
通化金马,SZ000766,sz.000766
深华发B,SZ200020,sz.200020
清越科技,SH688496,sh.688496
豪迈科技,SZ002595,sz.002595
汇鸿集团,SH600981,sh.600981
神马股份,SH600810,sh.600810
长虹美菱,SZ000521,sz.000521
大龙地产,SH600159,sh.600159
大中矿业,SZ001203,sz.001203
德才股份,SH605287,sh.605287
牧原股份,SZ002714,sz.002714
大有能源,SH600403,sh.600403
埃夫特-U,SH688165,sh.688165
上工申贝,SH600843,sh.600843
粤高速A,SZ000429,sz.000429
百傲化学,SH603360,sh.603360
中再资环,SH600217,sh.600217
欢瑞世纪,SZ000892,sz.000892
雷科防务,SZ002413,sz.002413
中体产业,SH600158,sh.600158
平潭发展,SZ000592,sz.000592
矩子科技,SZ300802,sz.300802
仙鹤股份,SH603733,sh.603733
三联虹普,SZ300384,sz.300384
商络电子,SZ300975,sz.300975
海程邦达,SH603836,sh.603836
金埔园林,SZ301098,sz.301098
慧博云通,SZ301316,sz.301316
智飞生物,SZ300122,sz.300122
中来股份,SZ300393,sz.300393
江苏阳光,SH600220,sh.600220
风神股份,SH600469,sh.600469
共创草坪,SH605099,sh.605099
隆鑫通用,SH603766,sh.603766
海宁皮城,SZ002344,sz.002344
两面针,SH600249,sh.600249
合众思壮,SZ002383,sz.002383
英特集团,SZ000411,sz.000411
润阳科技,SZ300920,sz.300920
帅丰电器,SH605336,sh.605336
渤海轮渡,SH603167,sh.603167
源飞宠物,SZ001222,sz.001222
海控B股,SH900945,sh.900945
