股票代码,公司,简介,公司网站,公司地址,公司电话
SZ300025,华星创业,"杭州华星创业通信技术股份有限公司的主营业务为提供移动通信技术服务和相关产品的研发、生产和销售,主要包括网络建设(主要是室内分布覆盖系统以及通信网络建设)、网络维护和网络优化以及相关通信网络测试优化系统工具软件产品研发、生产和销售。华星创业是业内从事网优服务时间最久、业务规模最大的第三方专业公司之一。",http://www.hxcy.com,浙江省杭州市滨江区聚才路500号,86-571-87208518
SH688419,耐科装备,安徽耐科装备科技股份有限公司主要从事应用于塑料挤出成型及半导体封装领域的智能制造装备的研发、生产和销售，为客户提供定制化的智能制造装备及系统解决方案。主要产品为塑料挤出成型模具及下游设备、半导体封装设备及模具。2021年11月，公司通过工信部复核的第三批制造业单项冠军名单公示；承担了2018年安徽省科技重大专项“集成电路自动封装系统NTASM200”项目；2021年，公司获得了中国国际半导体封测大会组委会授予的“2020-2021中国半导体最具发展潜力封测设备企业”荣誉称号，当选国家集成电路封测产业链技术创新战略联盟理事单位。,http://www.nextooling.com,安徽省铜陵市铜官区经济技术开发区天门山北道2888号,86-562-2108768
SH688072,拓荆科技,拓荆科技股份有限公司主要从事高端半导体专用设备的研发、生产、销售和技术服务。公司主要产品为半导体薄膜沉积设备包括PECVD设备、ALD设备及SACVD设备三个系列。公司是国内唯一一家产业化应用的集成电路PECVD、SACVD设备厂商，以前后两任董事长为核心的五名国家级海外高层次专家组建起一支国际化的技术团队，形成了三大类半导体薄膜设备产品系列，先后四次承担国家重大科技专项/课题，被中国半导体行业协会评为2016年度、2017年度、2019年度“中国半导体设备五强企业”。公司获得2017年辽宁省政府颁发的“辽宁省科学技术进步一等奖”，中国电子专用设备工业协会2016年度“中国半导体创新产品”认证，2019年国家知识产权局颁发的“国家知识产权示范企业”称号，2021年中国集成电路创新联盟颁发的“技术创新奖”，中国半导体行业协会颁发的2016年、2017年、2019年“中国半导体设备五强企业”称号。,http://www.piotech.cn,辽宁省沈阳市浑南区水家900号,86-24-24188000-8089
SZ301369,联动科技,"佛山市联动科技股份有限公司主营业务是半导体行业后道封装测试领域专用设备的研发、生产和销售。主要产品以及服务是半导体自动化测试系统、半导体激光打标设备、其他机电一体化设备，此外还有相应配件、维修服务等。公司近5年来所获得的重点荣誉及资质包括高新技术企业,广东省半导体集成电路封装测试设备工程技术研究中心,广东省佛山市南海区“雄鹰计划”重点扶持企业(2016-2020年),广东省战略新兴产业培育企业(智能制造领域),软件企业,佛山国家高新区2020年度领军企业,佛山市“专精特新”企业,南海区品牌企业行动计划试点企业,南海制造业全国隐形冠军等，并加入成为中国集成电路测试仪器与装备产业技术创新联盟和粤港澳大湾区半导体装备及零部件产业技术创新联盟成员，体现业界对公司在半导体技术研发领域的认可。",http://cn.powertechsemi.com,广东省佛山市南海区新光源产业基地光明大道16号,86-757-83281982
SZ300120,经纬辉开,天津经纬辉开光电股份有限公司的主营业务是液晶显示器件及触控模组等、电磁线、电抗器等的研发、生产和销售。公司主要产品包括液晶显示屏、液晶显示模组、电容式触摸屏、触控显示模组、保护屏、盖板玻璃、换位铝导线、换位铜导线、铜组合线、漆包线、薄膜绕包线、干式空心电抗器、并联电抗器、串联电抗器、滤波电抗器、电视模组等。,http://www.jwdc.cn,天津市津南区小站工业园区创新道1号,86-22-28572588-8552
SH688147,微导纳米,江苏微导纳米科技股份有限公司以原子层沉积(ALD)技术为核心，主要从事先进微、纳米级薄膜沉积设备的研发、生产和销售，向下游客户提供先进薄膜沉积设备、配套产品及服务。公司目前产品主要以批量式(管式)ALD设备为主。在半导体领域，ALD设备仍基本由境外厂商垄断，公司是行业内极少数的新进入者和国产厂商代表之一，先后获得多家知名半导体公司的商业订单，并在报告期内实现了国产ALD设备在28nm集成电路制造关键工艺（高介电常数栅氧层材料沉积环节）中的突破。,http://www.leadmicro.com,江苏省无锡市新吴区新硕路9-6号厂房,86-510-81975986
SZ300820,英杰电气,四川英杰电气股份有限公司主要从事以功率控制电源、特种电源为代表的工业电源设备的研发、生产与销售以及新能源汽车充电桩/站的研发、生产和销售。公司主要产品系列功率控制器、功率控制系统（还原炉电源、单晶炉电源、蓝宝石炉电源、SIC炉电源等）、特种电源。,http://www.injet.cn,四川省德阳市旌阳区金沙江西路686号,86-838-6928306
SH688037,芯源微,沈阳芯源微电子设备股份有限公司主要从事半导体专用设备的研发、生产和销售，产品包括光刻工序涂胶显影设备（涂胶/显影机、喷胶机）和单片式湿法设备（清洗机、去胶机、湿法刻蚀机），可用于8/12英寸单晶圆处理（如集成电路制造前道晶圆加工及后道先进封装环节）及6英寸及以下单晶圆处理（如化合物、MEMS、LED芯片制造等环节）。2019年，公司先后获得“2018年中国半导体设备行业十强单位”、“2018年中国半导体设备五强企业”、“全国第一批专精特新‘小巨人’”等多项殊荣。,http://www.kingsemi.com,辽宁省沈阳市浑南区彩云路1号,86-24-86688037
SH688488,艾迪药业,"艾迪药业成立于2009年，是一家专注于医药领域，集药品研发、生产、销售于一体的高科技制药企业。公司拥有一支由行业资深专家领衔的核心团队。自成立以来，艾迪药业始终秉承“维诚维信造良药，至善至美求卓越”的使命，践行“诚信、责任、创新、恒心”的价值理念，深耕人源蛋白领域，围绕严重威胁人类健康的重大疾病领域，着力打造抗艾滋病、抗炎和脑卒中等领域的研发管线，以国内未被满足的临床需求为导向，积极探索、研发和销售创新性药物。
公司于2021年开始将公司发展战略方向聚焦于以抗HIV为主的抗病毒领域及人源蛋白领域，在这两个优势赛道上进一步优化在研管线、着力提升商业化运营能力，以期不断增强公司核心竞争力。截至2022年6月，公司在研项目17项，核心包括8个1类新药和3个2类新药；在抗HIV病毒领域，公司自主研发的口服抗HIV国产1类创新药艾诺韦林（商品名:艾邦德®）于2021年6月获批上市，并于同年进入2021年国家医保目录，给艾滋病患者带来更安全且强效的国产口服抗病毒药物。艾诺韦林的获批对于控制HIV在中国的传播、强化国家公共卫生安全防控具有积极意义。",http://www.aidea.com.cn,江苏省扬州市邗江区新甘泉西路69号,86-514-82090238
SZ301039,中集车辆,中集车辆(集团)股份有限公司主要从事半挂车、专用车上装及整车、冷藏厢式车厢体及整车的生产、制造与销售。公司主要产品包括集装箱骨架车、冷藏半挂车、侧帘半挂车等。公司于2002年进入半挂车行业以来，围绕“专注、创新”所形成的经营优势、技术优势，实现了半挂车销量全球第一。在国内，公司运营着“通华”、“华骏”、“深扬帆”、“瑞江汽车”、“凌宇汽车”、“梁山东岳”等行业知名品牌；在北美，公司运营着“Vanguard”、“CIE”等知名品牌；在欧洲，公司运营着“SDC”和“LAG”两个历史悠久的知名品牌。,http://www.cimcvehiclesgroup.com,广东省深圳市南山区蛇口港湾大道2号,86-755-26802598;86-755-26802116
