comp_name,stock_id,chg_stock_id
华星创业,SZ300025,sz.300025
耐科装备,SH688419,sh.688419
拓荆科技-U,SH688072,sh.688072
联动科技,SZ301369,sz.301369
经纬辉开,SZ300120,sz.300120
微导纳米,SH688147,sh.688147
英杰电气,SZ300820,sz.300820
芯源微,SH688037,sh.688037
艾迪药业,SH688488,sh.688488
中集车辆,SZ301039,sz.301039
精测电子,SZ300567,sz.300567
富乐德,SZ301297,sz.301297
伟测科技,SH688372,sh.688372
有研硅,SH688432,sh.688432
光库科技,SZ300620,sz.300620
华海清科,SH688120,sh.688120
中微公司,SH688012,sh.688012
新莱应材,SZ300260,sz.300260
富创精密,SH688409,sh.688409
盛美上海,SH688082,sh.688082
正帆科技,SH688596,sh.688596
杰恩设计,SZ300668,sz.300668
古鳌科技,SZ300551,sz.300551
中科磁业,SZ301141,sz.301141
安集科技,SH688019,sh.688019
燕东微,SH688172,sh.688172
银江技术,SZ300020,sz.300020
法本信息,SZ300925,sz.300925
路维光电,SH688401,sh.688401
世纪天鸿,SZ300654,sz.300654
永信至诚,SH688244,sh.688244
浙能电力,SH600023,sh.600023
华建集团,SH600629,sh.600629
建投能源,SZ000600,sz.000600
中工国际,SZ002051,sz.002051
四川黄金,SZ001337,sz.001337
陕西建工,SH600248,sh.600248
盛剑环境,SH603324,sh.603324
盛视科技,SZ002990,sz.002990
贝瑞基因,SZ000710,sz.000710
永兴材料,SZ002756,sz.002756
金海通,SH603061,sh.603061
晶方科技,SH603005,sh.603005
北方华创,SZ002371,sz.002371
赛腾股份,SH603283,sh.603283
至纯科技,SH603690,sh.603690
华亚智能,SZ003043,sz.003043
梦网科技,SZ002123,sz.002123
大洋生物,SZ003017,sz.003017
茂硕电源,SZ002660,sz.002660
坤恒顺维,SH688283,sh.688283
中润资源,SZ000506,sz.000506
中国科传,SH601858,sh.601858
南华生物,SZ000504,sz.000504
曲江文旅,SH600706,sh.600706
晶瑞电材,SZ300655,sz.300655
银轮股份,SZ002126,sz.002126
齐心集团,SZ002301,sz.002301
鹏欣资源,SH600490,sh.600490
天华新能,SZ300390,sz.300390
科林退,SZ002499,sz.002499
力合微,SH688589,sh.688589
浩通科技,SZ301026,sz.301026
天舟文化,SZ300148,sz.300148
美埃科技,SH688376,sh.688376
鼎龙股份,SZ300054,sz.300054
数字政通,SZ300075,sz.300075
德邦科技,SH688035,sh.688035
科泰电源,SZ300153,sz.300153
宝新能源,SZ000690,sz.000690
福光股份,SH688010,sh.688010
炬光科技,SH688167,sh.688167
华特气体,SH688268,sh.688268
义翘神州,SZ301047,sz.301047
新易盛,SZ300502,sz.300502
深科达,SH688328,sh.688328
立昂微,SH605358,sh.605358
唯捷创芯-U,SH688153,sh.688153
芯碁微装,SH688630,sh.688630
达刚控股,SZ300103,sz.300103
晶华微,SH688130,sh.688130
华凯易佰,SZ300592,sz.300592
沪宁股份,SZ300669,sz.300669
金宏气体,SH688106,sh.688106
甬矽电子,SH688362,sh.688362
东田微,SZ301183,sz.301183
彤程新材,SH603650,sh.603650
万业企业,SH600641,sh.600641
国力股份,SH688103,sh.688103
佳发教育,SZ300559,sz.300559
晓程科技,SZ300139,sz.300139
福晶科技,SZ002222,sz.002222
中矿资源,SZ002738,sz.002738
川仪股份,SH603100,sh.603100
皖能电力,SZ000543,sz.000543
新益昌,SH688383,sh.688383
钜泉科技,SH688391,sh.688391
德方纳米,SZ300769,sz.300769
利和兴,SZ301013,sz.301013
天岳先进,SH688234,sh.688234
神工股份,SH688233,sh.688233
继峰股份,SH603997,sh.603997
西藏天路,SH600326,sh.600326
盟科药业-U,SH688373,sh.688373
万事利,SZ301066,sz.301066
中芯国际,SH688981,sh.688981
亚虹医药-U,SH688176,sh.688176
英方软件,SH688435,sh.688435
上海港湾,SH605598,sh.605598
华海诚科,SH688535,sh.688535
劲拓股份,SZ300400,sz.300400
信濠光电,SZ301051,sz.301051
美好医疗,SZ301363,sz.301363
江丰电子,SZ300666,sz.300666
湖南天雁,SH600698,sh.600698
长城汽车,SH601633,sh.601633
祥龙电业,SH600769,sh.600769
赛微微电,SH688325,sh.688325
开勒股份,SZ301070,sz.301070
生意宝,SZ002095,sz.002095
百奥泰,SH688177,sh.688177
中晶科技,SZ003026,sz.003026
亚翔集成,SH603929,sh.603929
沪硅产业,SH688126,sh.688126
迪哲医药-U,SH688192,sh.688192
通宇通讯,SZ002792,sz.002792
中科软,SH603927,sh.603927
禾迈股份,SH688032,sh.688032
普冉股份,SH688766,sh.688766
博敏电子,SH603936,sh.603936
华懋科技,SH603306,sh.603306
青达环保,SH688501,sh.688501
雅克科技,SZ002409,sz.002409
大唐发电,SH601991,sh.601991
湖南裕能,SZ301358,sz.301358
天富能源,SH600509,sh.600509
宏德股份,SZ301163,sz.301163
清溢光电,SH688138,sh.688138
君禾股份,SH603617,sh.603617
华大九天,SZ301269,sz.301269
昌红科技,SZ300151,sz.300151
科博达,SH603786,sh.603786
广立微,SZ301095,sz.301095
易天股份,SZ300812,sz.300812
久立特材,SZ002318,sz.002318
华峰测控,SH688200,sh.688200
中钢国际,SZ000928,sz.000928
北京文化,SZ000802,sz.000802
贵研铂业,SH600459,sh.600459
慈星股份,SZ300307,sz.300307
电魂网络,SH603258,sh.603258
雪莱特,SZ002076,sz.002076
金杯电工,SZ002533,sz.002533
茂莱光学,SH688502,sh.688502
兴森科技,SZ002436,sz.002436
三湘印象,SZ000863,sz.000863
奥普光电,SZ002338,sz.002338
亚信安全,SH688225,sh.688225
天齐锂业,SZ002466,sz.002466
春立医疗,SH688236,sh.688236
赣锋锂业,SZ002460,sz.002460
中国中铁,SH601390,sh.601390
科威尔,SH688551,sh.688551
格林达,SH603931,sh.603931
赛诺医疗,SH688108,sh.688108
上海新阳,SZ300236,sz.300236
伯特利,SH603596,sh.603596
云铝股份,SZ000807,sz.000807
诺禾致源,SH688315,sh.688315
中建环能,SZ300425,sz.300425
高铁电气,SH688285,sh.688285
迪普科技,SZ300768,sz.300768
概伦电子,SH688206,sh.688206
兆易创新,SH603986,sh.603986
罗欣药业,SZ002793,sz.002793
阿科力,SH603722,sh.603722
日联科技,SH688531,sh.688531
广东宏大,SZ002683,sz.002683
气派科技,SH688216,sh.688216
九联科技,SH688609,sh.688609
中国汽研,SH601965,sh.601965
久吾高科,SZ300631,sz.300631
必易微,SH688045,sh.688045
华正新材,SH603186,sh.603186
江化微,SH603078,sh.603078
元成股份,SH603388,sh.603388
返利科技,SH600228,sh.600228
酷特智能,SZ300840,sz.300840
中孚实业,SH600595,sh.600595
新点软件,SH688232,sh.688232
普蕊斯,SZ301257,sz.301257
宝莫股份,SZ002476,sz.002476
恩华药业,SZ002262,sz.002262
北方铜业,SZ000737,sz.000737
光力科技,SZ300480,sz.300480
盛新锂能,SZ002240,sz.002240
康强电子,SZ002119,sz.002119
雅化集团,SZ002497,sz.002497
旗滨集团,SH601636,sh.601636
中科曙光,SH603019,sh.603019
天智航-U,SH688277,sh.688277
岱勒新材,SZ300700,sz.300700
中金岭南,SZ000060,sz.000060
三维化学,SZ002469,sz.002469
粤电力A,SZ000539,sz.000539
南大光电,SZ300346,sz.300346
戴维医疗,SZ300314,sz.300314
中油工程,SH600339,sh.600339
国芯科技,SH688262,sh.688262
厦门空港,SH600897,sh.600897
国机汽车,SH600335,sh.600335
太辰光,SZ300570,sz.300570
科华数据,SZ002335,sz.002335
杭可科技,SH688006,sh.688006
黄山胶囊,SZ002817,sz.002817
和远气体,SZ002971,sz.002971
重庆百货,SH600729,sh.600729
山水比德,SZ300844,sz.300844
金橙子,SH688291,sh.688291
长川科技,SZ300604,sz.300604
中瓷电子,SZ003031,sz.003031
华辰装备,SZ300809,sz.300809
中洲特材,SZ300963,sz.300963
科创信息,SZ300730,sz.300730
隆盛科技,SZ300680,sz.300680
深水海纳,SZ300961,sz.300961
灿瑞科技,SH688061,sh.688061
创耀科技,SH688259,sh.688259
天山铝业,SZ002532,sz.002532
欧林生物,SH688319,sh.688319
方直科技,SZ300235,sz.300235
宏微科技,SH688711,sh.688711
东微半导,SH688261,sh.688261
申能股份,SH600642,sh.600642
双良节能,SH600481,sh.600481
香农芯创,SZ300475,sz.300475
金证股份,SH600446,sh.600446
维海德,SZ301318,sz.301318
趣睡科技,SZ301336,sz.301336
震裕科技,SZ300953,sz.300953
国林科技,SZ300786,sz.300786
中微半导,SH688380,sh.688380
金太阳,SZ300606,sz.300606
亚光股份,SH603282,sh.603282
深圳瑞捷,SZ300977,sz.300977
龙源电力,SZ001289,sz.001289
百利科技,SH603959,sh.603959
聚和材料,SH688503,sh.688503
安路科技-U,SH688107,sh.688107
普利特,SZ002324,sz.002324
中源协和,SH600645,sh.600645
青海华鼎,SH600243,sh.600243
汇通能源,SH600605,sh.600605
恒邦股份,SZ002237,sz.002237
明牌珠宝,SZ002574,sz.002574
三超新材,SZ300554,sz.300554
中泰化学,SZ002092,sz.002092
聚辰股份,SH688123,sh.688123
金达莱,SH688057,sh.688057
柳钢股份,SH601003,sh.601003
一品红,SZ300723,sz.300723
凤凰光学,SH600071,sh.600071
唯特偶,SZ301319,sz.301319
冠昊生物,SZ300238,sz.300238
莱伯泰科,SH688056,sh.688056
亿纬锂能,SZ300014,sz.300014
洛阳钼业,SH603993,sh.603993
穗恒运A,SZ000531,sz.000531
红塔证券,SH601236,sh.601236
敏芯股份,SH688286,sh.688286
中核钛白,SZ002145,sz.002145
天德钰,SH688252,sh.688252
平高电气,SH600312,sh.600312
浩云科技,SZ300448,sz.300448
帝奥微,SH688381,sh.688381
西藏矿业,SZ000762,sz.000762
张江高科,SH600895,sh.600895
斯达半导,SH603290,sh.603290
苏美达,SH600710,sh.600710
东芯股份,SH688110,sh.688110
汇成股份,SH688403,sh.688403
西部矿业,SH601168,sh.601168
华天科技,SZ002185,sz.002185
大地熊,SH688077,sh.688077
思瑞浦,SH688536,sh.688536
珀莱雅,SH603605,sh.603605
天龙股份,SH603266,sh.603266
紫金矿业,SH601899,sh.601899
卓胜微,SZ300782,sz.300782
天玑科技,SZ300245,sz.300245
电光科技,SZ002730,sz.002730
纳尔股份,SZ002825,sz.002825
派克新材,SH605123,sh.605123
宝地矿业,SH601121,sh.601121
利扬芯片,SH688135,sh.688135
福斯达,SH603173,sh.603173
迈普医学,SZ301033,sz.301033
鼎泰高科,SZ301377,sz.301377
英集芯,SH688209,sh.688209
中公高科,SH603860,sh.603860
融捷股份,SZ002192,sz.002192
远光软件,SZ002063,sz.002063
北方国际,SZ000065,sz.000065
多利科技,SZ001311,sz.001311
中油资本,SZ000617,sz.000617
七一二,SH603712,sh.603712
维峰电子,SZ301328,sz.301328
信邦智能,SZ301112,sz.301112
中铝国际,SH601068,sh.601068
中国中冶,SH601618,sh.601618
美格智能,SZ002881,sz.002881
容大感光,SZ300576,sz.300576
西仪股份,SZ002265,sz.002265
读客文化,SZ301025,sz.301025
菲利华,SZ300395,sz.300395
河钢资源,SZ000923,sz.000923
士兰微,SH600460,sh.600460
珈伟新能,SZ300317,sz.300317
瑞可达,SH688800,sh.688800
天准科技,SH688003,sh.688003
丰元股份,SZ002805,sz.002805
科德教育,SZ300192,sz.300192
联创股份,SZ300343,sz.300343
友好集团,SH600778,sh.600778
如通股份,SH603036,sh.603036
川能动力,SZ000155,sz.000155
鞍重股份,SZ002667,sz.002667
麦捷科技,SZ300319,sz.300319
株冶集团,SH600961,sh.600961
博众精工,SH688097,sh.688097
天顺股份,SZ002800,sz.002800
寒武纪-U,SH688256,sh.688256
淳中科技,SH603516,sh.603516
中富通,SZ300560,sz.300560
振华新材,SH688707,sh.688707
宜通世纪,SZ300310,sz.300310
葵花药业,SZ002737,sz.002737
铁建重工,SH688425,sh.688425
洲明科技,SZ300232,sz.300232
佳电股份,SZ000922,sz.000922
电连技术,SZ300679,sz.300679
华能国际,SH600011,sh.600011
益方生物-U,SH688382,sh.688382
同花顺,SZ300033,sz.300033
三棵树,SH603737,sh.603737
华兴源创,SH688001,sh.688001
珠海冠宇,SH688772,sh.688772
臻镭科技,SH688270,sh.688270
容百科技,SH688005,sh.688005
万润股份,SZ002643,sz.002643
上声电子,SH688533,sh.688533
澜起科技,SH688008,sh.688008
天雁B股,SH900946,sh.900946
厦钨新能,SH688778,sh.688778
奥克股份,SZ300082,sz.300082
皖仪科技,SH688600,sh.688600
游族网络,SZ002174,sz.002174
拓普集团,SH601689,sh.601689
克来机电,SH603960,sh.603960
同益股份,SZ300538,sz.300538
长电科技,SH600584,sh.600584
观想科技,SZ301213,sz.301213
通富微电,SZ002156,sz.002156
中国能建,SH601868,sh.601868
天下秀,SH600556,sh.600556
软通动力,SZ301236,sz.301236
上海建科,SH603153,sh.603153
新疆交建,SZ002941,sz.002941
华特达因,SZ000915,sz.000915
华友钴业,SH603799,sh.603799
北路智控,SZ301195,sz.301195
双杰电气,SZ300444,sz.300444
山东黄金,SH600547,sh.600547
京投发展,SH600683,sh.600683
西藏城投,SH600773,sh.600773
富信科技,SH688662,sh.688662
飞凯材料,SZ300398,sz.300398
亚星客车,SH600213,sh.600213
大烨智能,SZ300670,sz.300670
浙矿股份,SZ300837,sz.300837
湘邮科技,SH600476,sh.600476
华软科技,SZ002453,sz.002453
汇中股份,SZ300371,sz.300371
大丰实业,SH603081,sh.603081
立霸股份,SH603519,sh.603519
腾达建设,SH600512,sh.600512
中国移动,SH600941,sh.600941
凯格精机,SZ301338,sz.301338
高测股份,SH688556,sh.688556
南化股份,SH600301,sh.600301
腾远钴业,SZ301219,sz.301219
天秦装备,SZ300922,sz.300922
中铁工业,SH600528,sh.600528
漫步者,SZ002351,sz.002351
东岳硅材,SZ300821,sz.300821
双乐股份,SZ301036,sz.301036
联得装备,SZ300545,sz.300545
纳微科技,SH688690,sh.688690
裕太微-U,SH688515,sh.688515
绿通科技,SZ301322,sz.301322
骄成超声,SH688392,sh.688392
尚太科技,SZ001301,sz.001301
金钼股份,SH601958,sh.601958
力合科技,SZ300800,sz.300800
江苏国信,SZ002608,sz.002608
飞鹿股份,SZ300665,sz.300665
江特电机,SZ002176,sz.002176
闻泰科技,SH600745,sh.600745
文一科技,SH600520,sh.600520
先导智能,SZ300450,sz.300450
锡业股份,SZ000960,sz.000960
高澜股份,SZ300499,sz.300499
长光华芯,SH688048,sh.688048
隆达股份,SH688231,sh.688231
西部黄金,SH601069,sh.601069
华光新材,SH688379,sh.688379
康达新材,SZ002669,sz.002669
易成新能,SZ300080,sz.300080
上海贝岭,SH600171,sh.600171
天地源,SH600665,sh.600665
新城市,SZ300778,sz.300778
瑞鹄模具,SZ002997,sz.002997
建龙微纳,SH688357,sh.688357
中威电子,SZ300270,sz.300270
一彬科技,SZ001278,sz.001278
中国海诚,SZ002116,sz.002116
乐通股份,SZ002319,sz.002319
旭光电子,SH600353,sh.600353
龙磁科技,SZ300835,sz.300835
宏创控股,SZ002379,sz.002379
建科院,SZ300675,sz.300675
创新医疗,SZ002173,sz.002173
明新旭腾,SH605068,sh.605068
伊之密,SZ300415,sz.300415
纬德信息,SH688171,sh.688171
淮北矿业,SH600985,sh.600985
中颖电子,SZ300327,sz.300327
奕瑞科技,SH688301,sh.688301
隆华科技,SZ300263,sz.300263
三变科技,SZ002112,sz.002112
格科微,SH688728,sh.688728
普门科技,SH688389,sh.688389
中科金财,SZ002657,sz.002657
昱能科技,SH688348,sh.688348
百济神州-U,SH688235,sh.688235
捷捷微电,SZ300623,sz.300623
上海电气,SH601727,sh.601727
泰祥股份,SZ301192,sz.301192
芯朋微,SH688508,sh.688508
铭利达,SZ301268,sz.301268
博威合金,SH601137,sh.601137
明微电子,SH688699,sh.688699
万润科技,SZ002654,sz.002654
有研新材,SH600206,sh.600206
韦尔股份,SH603501,sh.603501
磁谷科技,SH688448,sh.688448
长安汽车,SZ000625,sz.000625
中国软件,SH600536,sh.600536
思美传媒,SZ002712,sz.002712
晶晨股份,SH688099,sh.688099
和林微纳,SH688661,sh.688661
侨源股份,SZ301286,sz.301286
西部建设,SZ002302,sz.002302
振华风光,SH688439,sh.688439
华钰矿业,SH601020,sh.601020
恒铭达,SZ002947,sz.002947
首药控股-U,SH688197,sh.688197
晶盛机电,SZ300316,sz.300316
亚太股份,SZ002284,sz.002284
雅创电子,SZ301099,sz.301099
润建股份,SZ002929,sz.002929
藏格矿业,SZ000408,sz.000408
大族数控,SZ301200,sz.301200
炬芯科技,SH688049,sh.688049
科德数控,SH688305,sh.688305
凯美特气,SZ002549,sz.002549
诚意药业,SH603811,sh.603811
理工光科,SZ300557,sz.300557
保隆科技,SH603197,sh.603197
德业股份,SH605117,sh.605117
信达证券,SH601059,sh.601059
精准信息,SZ300099,sz.300099
寒锐钴业,SZ300618,sz.300618
C常青,SH603125,sh.603125
长盈通,SH688143,sh.688143
中密控股,SZ300470,sz.300470
菲沃泰,SH688371,sh.688371
中国铁建,SH601186,sh.601186
新洁能,SH605111,sh.605111
立中集团,SZ300428,sz.300428
山大地纬,SH688579,sh.688579
华电重工,SH601226,sh.601226
芳源股份,SH688148,sh.688148
南纺股份,SH600250,sh.600250
新朋股份,SZ002328,sz.002328
当升科技,SZ300073,sz.300073
芯导科技,SH688230,sh.688230
德龙激光,SH688170,sh.688170
金诚信,SH603979,sh.603979
祥生医疗,SH688358,sh.688358
品茗科技,SH688109,sh.688109
宁科生物,SH600165,sh.600165
云海金属,SZ002182,sz.002182
圣济堂,SH600227,sh.600227
通宝能源,SH600780,sh.600780
金晶科技,SH600586,sh.600586
东富龙,SZ300171,sz.300171
中伟股份,SZ300919,sz.300919
中成股份,SZ000151,sz.000151
三安光电,SH600703,sh.600703
瑞丰银行,SH601528,sh.601528
露笑科技,SZ002617,sz.002617
华微电子,SH600360,sh.600360
胜华新材,SH603026,sh.603026
星环科技-U,SH688031,sh.688031
中国铝业,SH601600,sh.601600
逸豪新材,SZ301176,sz.301176
密尔克卫,SH603713,sh.603713
芯海科技,SH688595,sh.688595
金银河,SZ300619,sz.300619
中际旭创,SZ300308,sz.300308
铜陵有色,SZ000630,sz.000630
台基股份,SZ300046,sz.300046
睿智医药,SZ300149,sz.300149
甬金股份,SH603995,sh.603995
华宝新能,SZ301327,sz.301327
德新科技,SH603032,sh.603032
怡球资源,SH601388,sh.601388
康力电梯,SZ002367,sz.002367
重庆建工,SH600939,sh.600939
绿色动力,SH601330,sh.601330
瑞联新材,SH688550,sh.688550
信测标准,SZ300938,sz.300938
千方科技,SZ002373,sz.002373
华电国际,SH600027,sh.600027
纳睿雷达,SH688522,sh.688522
通源环境,SH688679,sh.688679
东华软件,SZ002065,sz.002065
同和药业,SZ300636,sz.300636
公元股份,SZ002641,sz.002641
深城交,SZ301091,sz.301091
紫光国微,SZ002049,sz.002049
天马科技,SH603668,sh.603668
工大科雅,SZ301197,sz.301197
神州泰岳,SZ300002,sz.300002
新凤鸣,SH603225,sh.603225
苏大维格,SZ300331,sz.300331
吴通控股,SZ300292,sz.300292
广州发展,SH600098,sh.600098
恒帅股份,SZ300969,sz.300969
DR旭升集,SH603305,sh.603305
怡达股份,SZ300721,sz.300721
大为股份,SZ002213,sz.002213
瑞泰新材,SZ301238,sz.301238
天山电子,SZ301379,sz.301379
泽宇智能,SZ301179,sz.301179
浩洋股份,SZ300833,sz.300833
宝钢包装,SH601968,sh.601968
大千生态,SH603955,sh.603955
新锐股份,SH688257,sh.688257
云南铜业,SZ000878,sz.000878
未名医药,SZ002581,sz.002581
中富电路,SZ300814,sz.300814
思科瑞,SH688053,sh.688053
峰岹科技,SH688279,sh.688279
中晟高科,SZ002778,sz.002778
大宏立,SZ300865,sz.300865
博彦科技,SZ002649,sz.002649
中国西电,SH601179,sh.601179
新兴铸管,SZ000778,sz.000778
益生股份,SZ002458,sz.002458
中复神鹰,SH688295,sh.688295
神火股份,SZ000933,sz.000933
长沙银行,SH601577,sh.601577
京新药业,SZ002020,sz.002020
龙建股份,SH600853,sh.600853
硕世生物,SH688399,sh.688399
崇达技术,SZ002815,sz.002815
南威软件,SH603636,sh.603636
天力锂能,SZ301152,sz.301152
盘龙药业,SZ002864,sz.002864
拉卡拉,SZ300773,sz.300773
英飞特,SZ300582,sz.300582
南方路机,SH603280,sh.603280
华润微,SH688396,sh.688396
永太科技,SZ002326,sz.002326
盈方微,SZ000670,sz.000670
秀强股份,SZ300160,sz.300160
索通发展,SH603612,sh.603612
中熔电气,SZ301031,sz.301031
银邦股份,SZ300337,sz.300337
金冠电气,SH688517,sh.688517
新澳股份,SH603889,sh.603889
未来电器,SZ301386,sz.301386
中信银行,SH601998,sh.601998
福能股份,SH600483,sh.600483
空港股份,SH600463,sh.600463
亚世光电,SZ002952,sz.002952
赛力斯,SH601127,sh.601127
永安行,SH603776,sh.603776
